Security,Brokerage,Built-up area,Bathrooms,Age of property,Price,School Time,School Distance,Hospital Time,Hospital Distance,Railway Time,Railway Distance,Area,City
60000.0,20000,1200.0,2.0,3.0,20000.0,1,0.8,3,2.1,15,11.1,Ladyhill,Mangalore
200000.0,40000,1800.0,3.0,5.0,40000.0,1,0.8,4,3.3,15,11.1,Ladyhill,Mangalore
130000.0,26000,1691.0,3.0,10.0,26000.0,2,0.9,2,1.5,15,11.1,Ladyhill,Mangalore
180000.0,0,1430.0,3.0,1.0,30000.0,1,0.7,3,1.8,15,11.1,Ladyhill,Mangalore
300000.0,0,3085.0,5.0,0.0,75000.0,1,0.5,2,0.9,15,11.1,Yeyyadi,Mangalore
50000.0,16000,700.0,1.0,1.0,16000.0,1,0.8,3,1.5,15,11.1,Yeyyadi,Mangalore
180000.0,30000,1465.0,2.0,8.0,30000.0,1,0.8,3,1.5,15,11.1,Yeyyadi,Mangalore
100000.0,30000,1750.0,3.0,5.0,30000.0,1,1.0,2,1.0,15,11.1,Yeyyadi,Mangalore
100000.0,20000,1500.0,3.0,10.0,20000.0,1,0.8,3,1.5,15,11.1,Yeyyadi,Mangalore
100000.0,21000,1100.0,2.0,5.0,21000.0,1,0.4,2,0.5,15,11.1,Yeyyadi,Mangalore
100000.0,29000,1850.0,3.0,5.0,29000.0,1,1.0,2,1.0,15,11.1,Yeyyadi,Mangalore
100000.0,0,1695.0,3.0,0.0,29000.0,1,1.0,2,1.0,15,11.1,Yeyyadi,Mangalore
100000.0,29000,1850.0,3.0,5.0,29000.0,1,0.1,2,1.4,15,11.1,Yeyyadi,Mangalore
150000.0,35000,1800.0,3.0,4.0,35000.0,1,0.1,2,1.4,15,11.1,Yeyyadi,Mangalore
16000.0,16000,1300.0,2.0,7.0,16000.0,1,0.7,4,2.3,15,11.1,Yeyyadi,Mangalore
60000.0,20000,1200.0,2.0,3.0,20000.0,2,0.9,3,2.1,15,11.1,Urwa,Mangalore
150000.0,25000,1200.0,2.0,1.0,25000.0,2,0.9,3,1.6,15,11.1,Urwa,Mangalore
50000.0,15000,900.0,2.0,15.0,15000.0,2,0.9,3,2.1,15,11.1,Urwa,Mangalore
200000.0,40000,2020.0,3.0,3.0,40000.0,2,0.9,4,3.6,15,11.1,Urwa,Mangalore
100000.0,25000,1750.0,3.0,5.0,25000.0,2,0.9,4,3.5,15,11.1,Urwa,Mangalore
200000.0,40000,1800.0,3.0,5.0,40000.0,2,0.9,4,3.3,15,11.1,Urwa,Mangalore
300000.0,65000,4000.0,6.0,6.0,65000.0,2,0.9,3,2.1,15,11.1,Urwa,Mangalore
80000.0,18000,1300.0,2.0,5.0,18000.0,2,0.9,3,2.1,15,11.1,Urwa,Mangalore
18000.0,18000,1250.0,2.0,10.0,18000.0,2,0.9,3,2.1,15,11.1,Urwa,Mangalore
30000.0,0,1600.0,1.0,0.0,15000.0,2,1.1,3,1.8,15,11.1,Urwa,Mangalore
72000.0,0,850.0,2.0,0.0,12000.0,1,0.8,4,2.7,15,11.1,Konchady,Mangalore
100000.0,0,1000.0,2.0,0.0,18000.0,1,0.8,4,2.7,15,11.1,Konchady,Mangalore
100000.0,25000,1270.0,2.0,7.0,25000.0,2,1.1,4,2.6,15,11.1,Konchady,Mangalore
150000.0,28000,1350.0,2.0,8.0,28000.0,2,1.1,4,2.6,15,11.1,Konchady,Mangalore
150000.0,30000,1350.0,2.0,8.0,30000.0,2,1.1,4,2.6,15,11.1,Konchady,Mangalore
50000.0,0,1200.0,2.0,10.0,15000.0,1,0.4,5,3.4,15,11.1,Konchady,Mangalore
300000.0,0,3085.0,5.0,0.0,75000.0,1,1.0,2,1.0,15,11.1,Konchady,Mangalore
150000.0,0,1000.0,2.0,0.0,25000.0,1,0.4,1,0.5,15,11.1,Kankanady,Mangalore
200000.0,0,1280.0,2.0,0.0,30000.0,1,0.1,1,0.2,15,11.1,Kankanady,Mangalore
120000.0,25000,1750.0,3.0,6.0,25000.0,2,0.9,2,0.8,15,11.1,Kankanady,Mangalore
150000.0,30000,1185.0,2.0,10.0,30000.0,1,0.5,1,0.2,15,11.1,Kankanady,Mangalore
100000.0,18000,1280.0,2.0,45.0,18000.0,1,0.5,1,0.2,15,11.1,Kankanady,Mangalore
120000.0,0,984.0,2.0,0.0,18000.0,1,0.6,2,0.9,15,11.1,Kankanady,Mangalore
150000.0,22000,1000.0,2.0,10.0,22000.0,1,0.5,1,0.2,15,11.1,Kankanady,Mangalore
30000.0,0,1000.0,2.0,0.0,25000.0,1,0.4,1,0.5,15,11.1,Kankanady,Mangalore
200000.0,0,1200.0,2.0,0.0,27000.0,6,6.3,4,5.0,15,11.1,Kankanady,Mangalore
200000.0,40000,1600.0,3.0,3.0,40000.0,6,6.3,4,5.0,15,11.1,Kankanady,Mangalore
300000.0,40000,1900.0,3.0,4.0,40000.0,6,6.3,4,5.0,15,11.1,Kankanady,Mangalore
150000.0,16000,1450.0,3.0,10.0,16000.0,6,6.3,4,5.0,15,11.1,Kankanady,Mangalore
100000.0,16000,1275.0,2.0,12.0,16000.0,6,6.3,4,5.0,15,11.1,Kankanady,Mangalore
150000.0,27000,1300.0,2.0,6.0,27000.0,6,6.3,4,5.0,15,11.1,Kankanady,Mangalore
20000.0,0,600.0,2.0,0.0,20000.0,1,0.7,1,0.1,15,11.1,Kankanady,Mangalore
100000.0,25000,1300.0,2.0,5.0,25500.0,1,0.8,1,0.6,15,11.1,Kankanady,Mangalore
250000.0,38000,1700.0,3.0,12.0,38000.0,1,0.6,2,0.8,15,11.1,Kankanady,Mangalore
75000.0,13000,780.0,1.0,10.0,13000.0,2,0.8,1,0.7,15,11.1,Kankanady,Mangalore
100000.0,30000,1500.0,2.0,10.0,30000.0,2,0.8,1,0.7,15,11.1,Kankanady,Mangalore
0.0,11000,700.0,1.0,5.0,11000.0,2,0.8,1,0.7,15,11.1,Kankanady,Mangalore
80000.0,18000,1300.0,2.0,5.0,18000.0,2,0.7,3,2.1,15,11.1,Saraswathi Manjunatha,Mangalore
50000.0,15000,900.0,2.0,15.0,15000.0,2,0.7,3,2.1,15,11.1,Saraswathi Manjunatha,Mangalore
300000.0,65000,4000.0,6.0,6.0,65000.0,2,0.7,3,2.1,15,11.1,Saraswathi Manjunatha,Mangalore
18000.0,18000,1250.0,2.0,10.0,18000.0,2,0.7,3,2.1,15,11.1,Saraswathi Manjunatha,Mangalore
60000.0,20000,1200.0,2.0,3.0,20000.0,2,0.7,3,2.1,15,11.1,Saraswathi Manjunatha,Mangalore
200000.0,40000,1800.0,3.0,5.0,40000.0,2,0.7,4,3.3,15,11.1,Saraswathi Manjunatha,Mangalore
